expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
2021-03-29,dundalk eagle newspaper,dundalk eagle newspaper,PO Box 600  Easton  Maryland 21601,business/group/organization,329,Salling   Johnny Ray Friends of,media,Newspaper,NA,Check,NA,Electoral,NA,NA
2021-04-29,dundalk eagle newspaper,dundalk eagle newspaper,PO Box 600  Easton  Maryland 21601,business/group/organization,400,Salling   Johnny Ray Friends of,media,Newspaper,NA,Check,NA,Electoral,NA,NA
2021-05-18,dundalk eagle newspaper,dundalk eagle newspaper,PO Box 600  Easton  Maryland 21601,business/group/organization,350,Salling   Johnny Ray Friends of,media,Newspaper,NA,Check,NA,Electoral,NA,NA
2021-07-01,dundalk eagle newspaper,dundalk eagle newspaper,PO Box 600  Easton  Maryland 21601,business/group/organization,484,Salling   Johnny Ray Friends of,media,Newspaper,NA,Check,NA,Electoral,NA,NA
2021-10-12,dundalk eagle newspaper,dundalk eagle newspaper,PO Box 600  Easton  Maryland 21601,business/group/organization,1792,Salling   Johnny Ray Friends of,media,Newspaper,NA,Check,NA,Electoral,NA,NA
2021-03-22,troop public relations,troop public relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,business/group/organization,625,Fraser  Stanford Friends of,media,Videos,NA,Debit Card,NA,Electoral,NA,NA
2022-02-14,diamond strategies llc,diamond strategies llc,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,business/group/organization,500,Judges - Baltimore City Sitting Judges Committee Slate,media,Consulting Fees - Media,NA,Check,NA,Electoral,November-December Retainer,NA
2021-11-09,tholander consulting  llc,tholander consulting  llc,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,business/group/organization,2881.16,McMillan  Herb Friends Of,media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
2021-10-12,tholander consulting  llc,tholander consulting  llc,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,business/group/organization,3034.32,McMillan  Herb Friends Of,media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
2021-12-07,tholander consulting  llc,tholander consulting  llc,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,business/group/organization,2358.12,McMillan  Herb Friends Of,media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
2021-10-12,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,95,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-09-10,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,340,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-06-24,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,180,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-10-12,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,190,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-05-07,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,210,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-07-09,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,225,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-05-19,jennifer johnson,jennifer johnson,3005 Marlin Dr  Riva  Maryland 21140,business/group/organization,210,McMillan  Herb Friends Of,media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
2021-11-17,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,59.37,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-10-25,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-12-24,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,143.1,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-05-24,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-11-24,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,143.1,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-04-24,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-08-26,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,115.51,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-07-24,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-09-28,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-06-23,mailchimp,mailchimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,business/group/organization,83.73,McMillan  Herb Friends Of,media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
2021-05-03,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
