"","fips_code","county","cox","moore","lashar","wallace","harding","write_ins","fips_code_chr","total_votes","moore_percent"
"1",24001,"allegany",13833,6390,279,143,267,0,"24001",20912,30.5566182096404
"2",24003,"anne arundel",72806,83643,3446,948,1247,0,"24003",162090,51.6028132518971
"3",24510,"baltimore city",11140,107563,1237,1180,1391,0,"24510",122511,87.7986466521374
"4",24005,"baltimore county",76242,117356,3636,1482,2200,0,"24005",200916,58.4104800015927
"5",24009,"calvert",18447,14236,504,142,242,0,"24009",33571,42.4056477316732
"6",24011,"caroline",6727,3276,176,56,140,0,"24011",10375,31.5759036144578
"7",24013,"carroll",38969,25155,1515,436,561,0,"24013",66636,37.7498649378714
"8",24015,"cecil",18159,8691,472,155,311,0,"24015",27788,31.2760903987333
"9",24017,"charles",15096,33633,408,283,414,0,"24017",49834,67.4900670225148
"10",24019,"dorchester",6169,4341,139,69,157,0,"24019",10875,39.9172413793103
"11",24021,"frederick",40178,38581,1456,468,606,0,"24021",81289,47.461526159751
"12",24023,"garrett",8195,2402,194,52,138,0,"24023",10981,21.8741462526182
"13",24025,"harford",51065,38139,1948,598,886,0,"24025",92636,41.1708191199965
"14",24027,"howard",33110,83690,2464,802,713,0,"24027",120779,69.2918470926237
"15",24029,"kent",3718,4256,106,56,93,0,"24029",8229,51.7195284967797
"16",24031,"montgomery",54968,191695,3013,2146,1551,0,"24031",253373,75.6572326175244
"17",24033,"prince george's",16903,161692,999,1593,1888,0,"24033",183075,88.320087395876
"18",24035,"queen anne's",12840,8577,416,120,212,0,"24035",22165,38.6961425671103
"19",24037,"saint mary's",20279,13291,661,253,346,0,"24037",34830,38.1596325007178
"20",24039,"somerset",3974,2254,67,46,81,0,"24039",6422,35.0981002802865
"21",24041,"talbot",7497,7989,289,70,128,0,"24041",15973,50.0156514117573
"22",24043,"washington",26943,15723,614,252,472,0,"24043",44004,35.7308426506681
"23",24045,"wicomico",14612,12213,388,171,358,0,"24045",27742,44.023502270925
"24",24047,"worcester",13433,8550,273,121,161,0,"24047",22538,37.9359304286095
